,count,unique,top,freq
MSZoning,1460,5,RL,1151
Street,1460,2,Pave,1454
Alley,91,2,Grvl,50
LotShape,1460,4,Reg,925
LandContour,1460,4,Lvl,1311
Utilities,1460,2,AllPub,1459
LotConfig,1460,5,Inside,1052
LandSlope,1460,3,Gtl,1382
Neighborhood,1460,25,NAmes,225
Condition1,1460,9,Norm,1260
Condition2,1460,8,Norm,1445
BldgType,1460,5,1Fam,1220
HouseStyle,1460,8,1Story,726
RoofStyle,1460,6,Gable,1141
RoofMatl,1460,8,CompShg,1434
Exterior1st,1460,15,VinylSd,515
Exterior2nd,1460,16,VinylSd,504
MasVnrType,588,3,BrkFace,445
ExterQual,1460,4,TA,906
ExterCond,1460,5,TA,1282
Foundation,1460,6,PConc,647
BsmtQual,1423,4,TA,649
BsmtCond,1423,4,TA,1311
BsmtExposure,1422,4,No,953
BsmtFinType1,1423,6,Unf,430
BsmtFinType2,1422,6,Unf,1256
Heating,1460,6,GasA,1428
HeatingQC,1460,5,Ex,741
CentralAir,1460,2,Y,1365
Electrical,1459,5,SBrkr,1334
KitchenQual,1460,4,TA,735
Functional,1460,7,Typ,1360
FireplaceQu,770,5,Gd,380
GarageType,1379,6,Attchd,870
GarageFinish,1379,3,Unf,605
GarageQual,1379,5,TA,1311
GarageCond,1379,5,TA,1326
PavedDrive,1460,3,Y,1340
PoolQC,7,3,Gd,3
Fence,281,4,MnPrv,157
MiscFeature,54,4,Shed,49
SaleType,1460,9,WD,1267
SaleCondition,1460,6,Normal,1198
